job_id,inferred,type
3884919436,1,401(k)
3884919436,1,Commuter benefits
3884919436,1,Paid maternity leave
3884919436,1,Disability insurance
3887477342,0,Medical insurance
3887477342,0,Vision insurance
3887477342,0,Dental insurance
3887477342,0,401(k)
3887477342,0,Tuition assistance
3887477342,0,Disability insurance
3887493382,0,Medical insurance
3887493382,0,Vision insurance
3887493382,0,Dental insurance
3887493382,0,401(k)
3887493382,0,Tuition assistance
3884435384,1,Medical insurance
3887479188,1,401(k)
3884431973,1,401(k)
3884429852,1,Dental insurance
3884429852,1,Medical insurance
3884429852,1,Vision insurance
3887495574,0,Medical insurance
3887495574,0,Vision insurance
3887495574,0,Dental insurance
3887495574,0,401(k)
3887495574,0,Pension plan
3884435199,1,Vision insurance
3887473502,1,Medical insurance
3887473502,1,Disability insurance
3887473502,1,401(k)
3884436671,0,Medical insurance
3884436671,0,Vision insurance
3884436671,0,Dental insurance
3884436671,0,Disability insurance
3884436671,0,Commuter benefits
3887702146,1,401(k)
3884912331,1,Medical insurance
3884912331,1,401(k)
3887496603,1,401(k)
3887496603,1,Disability insurance
3884431771,1,401(k)
3884934009,0,Medical insurance
3884934009,0,Vision insurance
3884934009,0,Dental insurance
3884934009,0,401(k)
3887496217,1,401(k)
3884919744,1,Tuition assistance
3884919744,1,Medical insurance
3887473088,0,Medical insurance
3887473088,0,Vision insurance
3887473088,0,Dental insurance
3887473088,0,401(k)
3884437420,1,401(k)
3887700209,1,401(k)
3887700209,1,Medical insurance
3887491563,1,401(k)
3884919538,0,Medical insurance
3884919538,0,Vision insurance
3884919538,0,Dental insurance
3884919538,0,401(k)
3884919538,0,Tuition assistance
3884434764,0,Medical insurance
3884434764,0,Vision insurance
3884434764,0,Dental insurance
3884434764,0,401(k)
3884434764,0,Paid maternity leave
3884431797,1,Dental insurance
3884431797,1,Medical insurance
3884431797,1,Vision insurance
3884435301,0,Medical insurance
3884435301,0,Vision insurance
3884435301,0,Dental insurance
3884435301,0,401(k)
3884435301,0,Paid maternity leave
3884435301,0,Paid paternity leave
3884435301,0,Disability insurance
3884914640,1,401(k)
3887489526,0,Medical insurance
3887489526,0,Vision insurance
3887489526,0,Dental insurance
3887489526,0,401(k)
3887489526,0,Disability insurance
3887489526,0,Commuter benefits
3887489526,0,Child care support
3887489526,0,Tuition assistance
3887489526,0,Paid maternity leave
3887489526,0,Paid paternity leave
3884919109,1,401(k)
3884436566,0,Medical insurance
3884436566,0,Vision insurance
3884436566,0,Dental insurance
3884436566,0,Pension plan
